,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
62592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382360.705888,2019-03-04 08:52:35.705888,GRB190304371
62593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382364.801578,2019-03-04 08:52:39.801578,GRB190304371
62594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382368.897301,2019-03-04 08:52:43.897301,GRB190304371
62595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382372.9933751,2019-03-04 08:52:47.993375,GRB190304371
62596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382377.089449,2019-03-04 08:52:52.089449,GRB190304371
62597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382381.185515,2019-03-04 08:52:56.185515,GRB190304371
62598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382385.2815809,2019-03-04 08:53:00.281581,GRB190304371
62599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382389.3776469,2019-03-04 08:53:04.377647,GRB190304371
62600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382393.4737141,2019-03-04 08:53:08.473714,GRB190304371
62601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382397.5697811,2019-03-04 08:53:12.569781,GRB190304371
62602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382401.6658471,2019-03-04 08:53:16.665847,GRB190304371
62603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382405.7619131,2019-03-04 08:53:20.761913,GRB190304371
62604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382409.857979,2019-03-04 08:53:24.857979,GRB190304371
62605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382413.954053,2019-03-04 08:53:28.954053,GRB190304371
62606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382418.050127,2019-03-04 08:53:33.050127,GRB190304371
62607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382422.146193,2019-03-04 08:53:37.146193,GRB190304371
62608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382426.242259,2019-03-04 08:53:41.242259,GRB190304371
62609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382430.338326,2019-03-04 08:53:45.338326,GRB190304371
62610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382434.4343929,2019-03-04 08:53:49.434393,GRB190304371
62611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382438.530459,2019-03-04 08:53:53.530459,GRB190304371
62612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382442.626525,2019-03-04 08:53:57.626525,GRB190304371
62613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382446.722591,2019-03-04 08:54:01.722591,GRB190304371
62614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573382450.818657,2019-03-04 08:54:05.818657,GRB190304371
