,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
41780,237.09102,319.67465,31.734663,243.15952,326.25534,33.336384,262.04825,341.31204,34.42523,240.76465,347.36273,36.14533,197.47443,319.7788,36.972893,270.24478,351.46524,38.466393,216.4659,319.55655,35.016544,210.74431,321.93304,34.287277,160.28975,310.7908,32.302666,265.3383,329.65158,31.360388,231.46632,324.6652,32.209335,158.28403,304.93854,36.969666,573284645.3134079,2019-03-03 05:44:00.313408,GRB190303240
41781,232.45547,323.74664,34.433308,240.46457,328.70844,30.885357,254.55144,327.80542,29.27709,239.29237,344.0517,34.5522,195.77403,327.26953,36.36328,276.62375,346.33096,40.182724,214.50325,310.00128,34.526207,209.39462,323.76572,33.42967,159.54549,307.22293,32.790024,265.58566,327.57196,27.31808,227.0445,317.54388,32.697346,163.79271,306.40744,36.112743,573284649.409472,2019-03-03 05:44:04.409472,GRB190303240
41782,237.1313,334.06714,33.333187,244.38692,323.07117,29.04699,258.8448,333.57047,29.032759,231.94653,338.66888,32.96018,195.27644,327.25638,35.137516,269.86996,339.81808,36.26033,213.15576,308.77588,35.015823,201.79735,325.71658,33.673706,164.44536,301.23843,33.64767,251.72786,326.08252,30.991312,226.54854,319.7396,33.1863,160.36409,303.22278,33.786633,573284653.5055361,2019-03-03 05:44:08.505536,GRB190303240
41783,239.82477,337.6174,36.15141,243.02852,311.53732,31.251776,266.22443,348.5543,33.69154,236.12251,341.0114,35.41225,197.72356,320.39786,35.749397,266.93692,346.0747,38.343853,222.22125,317.84372,34.649372,209.76648,328.6709,35.757042,164.32733,310.42325,33.64856,244.49223,326.07132,32.33765,228.63647,319.25833,32.94227,155.09372,302.4756,33.417984,573284657.6015999,2019-03-03 05:44:12.601600,GRB190303240
41784,231.72896,335.76804,37.49818,248.40862,318.99734,30.14727,259.48938,344.88318,37.857517,244.83148,342.86212,36.761486,194.29851,318.81116,34.648064,266.2154,345.3572,42.266136,231.65971,323.24612,30.977753,212.33656,320.58658,36.124157,156.85489,307.83688,32.790257,254.05426,330.00104,30.7462,226.67638,324.4007,32.207394,161.08475,293.03714,32.926895,573284661.697665,2019-03-03 05:44:16.697665,GRB190303240
41785,235.51643,327.90945,33.942795,247.80359,330.03714,30.025658,255.80565,344.50455,37.61127,248.38527,344.57788,34.43328,201.77129,321.75665,34.403965,268.40402,344.11087,37.1184,229.21037,323.00052,28.161531,206.0834,314.08432,33.18396,161.1383,303.06726,34.13636,265.5682,329.63287,31.603598,229.0095,330.7779,33.677868,160.95891,292.41888,32.314182,573284665.79373,2019-03-03 05:44:20.793730,GRB190303240
41786,236.128,332.07416,32.104588,245.85512,326.74463,33.458847,262.7988,342.43478,33.692154,249.61526,349.48587,35.781864,205.3269,323.7235,35.13943,266.06934,336.0167,37.362408,223.20853,314.30405,31.467138,208.28452,308.81454,35.020206,167.01309,314.69427,36.82853,261.40598,335.0259,30.501446,230.84729,323.79852,31.351145,161.82127,299.40607,28.887913,573284669.8897941,2019-03-03 05:44:24.889794,GRB190303240
41787,227.31305,340.17307,34.311405,249.03621,328.20813,33.94834,263.40417,334.46204,33.078663,241.03061,342.98154,38.599205,193.55904,317.9461,32.321053,262.64453,334.9208,38.955673,219.41855,314.31216,35.018806,214.79138,308.3493,38.32936,161.13994,315.30573,37.80732,254.91905,335.03296,29.399601,238.55971,316.81415,30.126123,157.78928,306.39764,28.399622,573284673.9858661,2019-03-03 05:44:28.985866,GRB190303240
41788,232.46317,335.27634,36.0275,249.7686,332.2486,31.37427,249.42014,344.97403,32.46382,233.06448,352.17,37.496178,193.18674,328.95612,31.46324,265.2216,340.07166,37.241276,219.65874,322.2641,32.814125,215.89517,315.33185,35.023266,167.25772,312.1247,37.68499,258.1042,337.97318,27.807142,241.12746,316.1966,33.187172,157.91313,300.76944,30.23608,573284678.081938,2019-03-03 05:44:33.081938,GRB190303240
41789,243.86252,324.8641,33.454506,249.78586,326.14334,32.35695,252.73442,342.2879,32.342167,240.5635,362.74475,35.539185,205.07227,330.68668,35.50505,257.62152,336.63528,39.078114,222.46477,314.16873,32.078026,214.66702,329.0418,32.940918,173.25044,309.55057,35.482082,258.47858,342.75974,25.602854,244.68536,318.4094,32.943127,161.83076,299.7909,32.4396,573284682.1780021,2019-03-03 05:44:37.178002,GRB190303240
