,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
95099,207.92734,360.35022,44.477093,219.95796,352.17783,38.599865,228.37267,373.18835,42.51358,259.50378,377.18146,36.65169,290.65158,376.09406,38.737198,253.94066,353.04245,43.609684,227.54233,374.86923,43.96539,235.58093,385.11722,41.674046,239.46034,406.24924,41.911686,200.32858,394.28976,46.408638,155.603,382.3353,48.970257,136.5747,385.71637,50.955227,573622510.463057,2019-03-07 03:35:05.463057,GRB190307151
95100,205.95859,360.5807,42.759995,215.79088,351.07373,37.8645,224.5659,373.0514,41.409317,263.78522,378.7622,35.792416,284.51303,367.13336,38.245613,256.39575,353.53946,43.120544,234.51624,376.818,42.372124,231.03734,381.91635,43.265877,238.60747,411.28232,42.525314,201.67494,392.3294,49.5922,152.78743,373.39877,48.235775,133.38614,390.11465,48.01411,573622514.559124,2019-03-07 03:35:09.559124,GRB190307151
95101,208.54967,360.12192,38.59762,219.46945,353.52838,38.967773,232.5284,369.37466,41.164143,259.3617,370.65677,38.242367,291.26227,369.59415,39.96275,262.26917,360.2679,41.159477,238.68666,381.84967,44.33277,232.88228,385.60403,43.879925,238.36203,408.46304,43.138012,204.24048,387.90997,50.202995,157.67834,371.91522,46.397587,131.91173,386.6716,48.01244,573622518.655191,2019-03-07 03:35:13.655191,GRB190307151
95102,201.8246,364.92633,40.438446,228.66867,349.37534,40.562344,232.64528,361.89264,39.570522,246.48509,370.89203,36.647957,296.1664,375.11145,38.614414,258.225,357.93805,40.179222,232.80986,387.85315,43.843204,233.97989,394.7874,44.736855,243.258,405.87933,44.362415,205.71483,399.3072,48.122578,166.62564,374.5098,47.869675,135.10153,387.5442,51.321434,573622522.7512571,2019-03-07 03:35:17.751257,GRB190307151
95103,199.24571,368.95993,46.196575,220.8203,344.71005,41.17404,229.45033,357.5897,41.65142,251.53227,372.76297,37.63178,289.5447,380.50244,38.49155,256.3916,354.39127,44.834843,229.24759,382.8141,40.90208,235.06656,387.03867,44.73373,246.2076,402.82947,46.324776,205.96628,403.97308,47.266933,168.21147,377.19037,46.643795,135.59302,397.59256,50.95456,573622526.8473241,2019-03-07 03:35:21.847324,GRB190307151
95104,200.22221,369.44308,46.563305,209.65422,345.29843,39.57821,231.77763,365.55203,43.856445,258.40897,375.23236,40.82077,291.37204,377.66818,39.102936,268.5362,366.05206,46.552807,222.86879,372.99908,40.77764,232.25224,380.5505,41.057785,243.13704,396.4457,47.05878,203.27245,395.27917,48.736404,168.94366,381.46988,45.29649,138.65208,389.98962,50.096027,573622530.9433911,2019-03-07 03:35:25.943391,GRB190307151
95105,200.70898,367.10873,44.234398,216.99757,342.8341,36.14584,229.70726,372.187,44.348812,261.8253,377.7835,37.87641,292.35333,385.26898,37.754642,264.2535,372.06207,41.04076,231.69778,376.93753,46.16811,226.11494,381.76047,38.482433,244.23729,398.27957,44.484764,204.74014,403.725,45.062424,167.96796,384.29404,47.37872,135.83223,385.57248,48.625248,573622535.0394661,2019-03-07 03:35:30.039466,GRB190307151
95106,208.18091,358.1594,42.028282,222.63342,343.32355,35.043015,230.07726,368.63815,40.673935,267.5866,381.33853,32.237877,300.21664,381.7373,38.982807,265.11063,366.67102,38.590504,236.3648,384.797,48.49765,233.5886,385.18832,39.339947,246.07965,398.4088,43.38257,205.1035,406.2886,43.592144,165.51245,384.2778,44.805885,134.48546,384.47162,50.09522,573622539.1355422,2019-03-07 03:35:34.135542,GRB190307151
95107,209.17563,357.0813,43.99183,223.9981,348.49594,39.334457,231.42873,374.76996,39.204445,261.81955,372.74963,35.54666,308.43362,367.88922,36.531487,268.79315,366.9259,43.002003,228.75919,380.73462,45.066048,249.42346,396.38107,42.898384,243.26216,399.7588,47.18183,198.73596,404.45157,45.061512,168.07979,379.3731,41.744507,131.05511,386.30637,53.52438,573622543.2316091,2019-03-07 03:35:38.231609,GRB190307151
95108,203.17838,369.1033,42.767944,219.34035,355.72348,39.334217,231.67332,370.84885,43.737373,260.10992,361.60428,42.166733,300.58792,378.67706,37.144432,261.68103,372.79745,46.0637,230.21408,367.73026,46.655087,244.28328,396.02573,41.67402,244.35669,406.73013,48.28312,205.71498,398.57275,45.061375,164.78123,371.43112,40.644405,129.95543,393.17337,52.42312,573622547.327676,2019-03-07 03:35:42.327676,GRB190307151
95109,205.25676,367.74658,43.379635,215.7827,355.2266,35.044777,229.71431,369.74817,47.29052,262.08636,372.2901,40.330406,299.85458,387.87402,38.738365,257.6331,367.88977,41.285,225.4426,363.45117,45.186485,227.96474,389.74615,40.322796,246.9166,401.92874,43.623974,215.6368,388.17072,48.61318,157.31154,367.3867,40.888756,128.9789,388.774,49.117317,573622551.423743,2019-03-07 03:35:46.423743,GRB190307151
95110,207.58223,365.41333,46.19746,221.67015,359.1571,38.966892,229.23926,381.77954,45.700825,260.4848,378.65295,40.69692,301.5722,384.56586,39.228905,258.49234,369.48477,41.407776,217.35901,366.02032,43.83917,228.58492,382.52734,41.05949,236.49585,397.38654,43.50053,212.09193,393.57013,48.49215,153.51007,366.8817,46.64062,130.32326,388.39758,45.68663,573622555.519809,2019-03-07 03:35:50.519809,GRB190307151
95111,213.82925,380.2362,45.216614,221.42947,364.3109,42.031162,241.74532,381.42584,44.10964,264.15994,377.05615,40.20625,298.01544,389.09955,41.190125,265.49222,377.8394,43.493187,215.7741,374.11456,45.310112,234.96553,386.21616,39.835052,226.45445,399.23624,49.506275,212.82753,390.75525,50.941456,157.06325,373.13232,46.64154,135.09833,400.02823,52.177593,573622559.615876,2019-03-07 03:35:54.615876,GRB190307151
95112,229.88998,377.92148,44.72806,218.23563,350.69644,41.294445,241.36426,382.26218,44.107174,261.953,373.37802,36.773933,291.3994,397.19568,40.455116,279.7266,379.34012,41.04617,218.59999,378.6617,43.84246,230.15814,385.8029,40.565678,226.69672,398.49606,47.299965,213.68471,388.55106,51.43128,160.86206,383.05737,45.663277,135.35274,406.30322,55.24352,573622563.711943,2019-03-07 03:35:58.711943,GRB190307151
95113,219.34006,371.5302,42.765186,227.06044,349.84216,42.397686,234.00299,379.91794,43.12516,261.3384,377.78845,39.1027,286.1126,384.05777,39.9626,284.98587,379.94034,43.005177,223.60988,376.43854,43.227978,235.1764,382.97357,42.402832,228.64793,398.8473,46.195213,209.63899,392.33838,48.613712,170.5422,387.60706,47.991776,135.35051,393.68015,49.853085,573622567.8080101,2019-03-07 03:36:02.808010,GRB190307151
