,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
69904,199.49457,349.1461,43.474873,183.28238,343.91464,36.852367,138.13474,321.78418,37.806583,261.80713,380.4538,43.021675,278.72507,377.02652,41.06108,187.04823,343.0034,46.272404,237.2571,318.66885,33.054394,255.60817,362.58127,40.436573,302.84338,364.85825,34.56165,239.59001,327.3703,37.34029,199.02704,321.06268,36.10884,206.59337,324.27936,32.08504,573420975.125161,2019-03-04 19:36:10.125161,GRB190304818
69905,205.98795,348.66092,42.618195,194.31801,331.8222,41.141052,142.91136,327.30127,44.41509,269.30762,388.33252,42.41258,283.88297,377.40744,43.146286,200.52129,351.95282,47.743164,224.5059,318.5193,34.27571,255.71928,354.60068,37.739117,308.1033,370.60635,32.354523,228.56502,333.35968,36.482258,201.95569,313.58212,36.719215,204.38173,327.08426,35.512703,573420979.221227,2019-03-04 19:36:14.221227,GRB190304818
69906,212.23662,341.92996,39.924488,192.97089,333.41354,36.61059,145.72461,329.25684,44.29245,273.73688,387.0073,44.499096,285.59042,370.287,40.44843,213.61746,344.60352,50.803005,222.06682,329.79492,33.29778,255.34221,346.37833,38.59539,310.9306,375.64142,36.03216,223.41519,333.59256,36.480946,205.51956,325.4774,35.130505,205.11667,325.73752,37.104687,573420983.3172929,2019-03-04 19:36:18.317293,GRB190304818
69907,206.85152,338.26163,35.516247,185.73352,329.22705,34.404163,150.12573,323.8654,41.844337,269.0645,379.3871,43.761288,277.73297,368.6764,39.466026,216.06448,343.4997,45.538803,230.41547,336.80817,32.811554,252.02841,348.0859,35.53147,307.87616,368.29932,36.76865,223.41615,333.2267,36.603523,198.5467,338.2149,37.212208,206.46506,322.55573,36.37018,573420987.4133589,2019-03-04 19:36:22.413359,GRB190304818
69908,198.6472,339.12088,38.82316,181.8159,321.02444,39.668922,149.88184,330.96356,42.578674,267.08902,383.28928,40.572033,271.10803,375.5312,39.710217,211.77898,351.45517,43.09029,228.44559,333.60892,32.932404,253.63153,352.02097,33.449955,312.52835,362.5329,33.58148,218.26833,341.17435,33.78691,195.34993,330.8464,35.373516,204.00659,330.9903,37.10324,573420991.509425,2019-03-04 19:36:26.509425,GRB190304818
69909,199.49908,346.5822,40.169243,187.94472,325.19946,41.01725,144.87613,342.8572,42.82656,262.66782,379.10944,40.815857,271.6176,388.30533,37.751907,200.64267,351.46133,48.110172,231.36633,325.7491,31.828175,259.52924,356.45444,34.554882,311.53775,352.22638,33.09016,222.43163,341.42093,32.807747,199.27528,331.96225,34.395794,207.44537,336.51706,36.982586,573420995.605491,2019-03-04 19:36:30.605491,GRB190304818
69910,197.29013,344.6148,41.02557,197.00822,330.46936,40.405666,145.60928,334.65662,40.011963,260.83636,380.46808,41.062115,285.11206,375.45068,37.140568,198.31438,342.888,50.68034,234.67969,322.69986,32.563797,259.02448,353.37112,35.2881,304.05423,348.17334,33.334442,228.93561,339.85306,36.36036,199.27475,329.02365,34.762917,214.19905,327.97318,37.475647,573420999.701557,2019-03-04 19:36:34.701557,GRB190304818
69911,195.19568,342.26596,42.369953,192.83356,328.85773,40.770523,150.25793,332.32944,40.990562,261.58362,382.44653,39.960762,287.8079,368.46277,37.99849,196.35397,338.84525,48.231586,230.52063,321.725,33.78847,259.7664,352.5226,36.636864,319.0127,346.34265,33.825397,223.05728,335.81018,36.6049,194.861,319.8315,34.149635,218.60632,331.76724,35.883278,573421003.797622,2019-03-04 19:36:38.797622,GRB190304818
69912,197.76537,346.916,40.90008,192.9518,331.05435,41.136932,148.55034,336.99146,44.662994,265.88788,383.44736,37.38857,281.79343,379.72858,37.016796,191.44762,340.78656,46.882633,226.10593,316.08313,35.256367,260.50128,346.15057,35.28898,316.43295,351.3607,33.334534,219.99423,335.0719,33.299072,196.69836,323.873,37.087498,217.12671,332.3643,29.758482,573421007.893687,2019-03-04 19:36:42.893687,GRB190304818
69913,194.5883,346.80557,40.901505,191.60544,327.62692,40.76972,144.75659,338.82587,41.236664,268.94754,371.91745,38.000793,284.23868,377.88177,37.996548,194.26933,349.1217,46.149677,235.16399,316.20435,34.154476,263.31915,350.19366,36.391712,294.60712,355.02365,35.539127,221.09645,338.13312,33.788826,199.02495,330.36182,35.37405,209.03775,322.92474,30.00249,573421011.989761,2019-03-04 19:36:46.989761,GRB190304818
