,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp
95098,0.0,365.94113,45.366863,217.77948,351.5251,42.14292,224.6258,373.8924,0.0,257.36227,372.29333,0.0,287.2066,376.5305,0.0,259.99512,364.35355,44.279842,0.0,0.0,0.0,236.5115,0.0,0.0,0.0,397.54056,47.063236,0.0,397.7696,48.69339,167.71753,380.32892,0.0,0.0,392.08295,0.0,573622506.366991,2019-03-07 03:35:01.366991
95099,0.0,365.56122,45.302273,217.82553,351.2074,42.08791,224.92241,373.60342,0.0,257.25528,371.9912,0.0,287.03455,376.22336,0.0,260.04767,364.03397,44.233517,0.0,0.0,0.0,236.13707,0.0,0.0,0.0,397.11438,47.031536,0.0,397.43378,48.634785,167.93799,380.06015,0.0,0.0,391.63608,0.0,573622510.463057,2019-03-07 03:35:05.463057
95100,0.0,365.20688,45.244064,217.8588,350.9104,42.037342,225.19682,373.33997,0.0,257.13837,371.69278,0.0,286.8518,375.92273,0.0,260.09576,363.72995,44.1917,0.0,0.0,0.0,235.77536,0.0,0.0,0.0,396.69067,47.001785,0.0,397.10568,48.582855,168.12938,379.79645,0.0,0.0,391.2021,0.0,573622514.559124,2019-03-07 03:35:09.559124
95101,0.0,364.88693,45.184536,217.90907,350.6475,41.99227,225.44487,373.0938,0.0,257.074,371.46616,0.0,286.75488,375.6876,0.0,260.1433,363.4681,44.146626,0.0,0.0,0.0,235.46391,0.0,0.0,0.0,396.35828,46.969482,0.0,396.83224,48.529716,168.33026,379.5847,0.0,0.0,390.8292,0.0,573622518.655191,2019-03-07 03:35:13.655191
95102,0.0,364.5007,45.112263,217.98134,350.3325,41.937466,225.78734,372.8181,0.0,256.99893,371.19177,0.0,286.635,375.4109,0.0,260.23236,363.16,44.103832,0.0,0.0,0.0,235.066,0.0,0.0,0.0,395.94006,46.938164,0.0,396.50446,48.46914,168.59381,379.33554,0.0,0.0,390.36835,0.0,573622522.7512571,2019-03-07 03:35:17.751257
95103,0.0,364.1345,45.051247,218.0264,350.03262,41.888454,226.0727,372.55426,0.0,256.88535,370.89795,0.0,286.4702,375.11505,0.0,260.2866,362.85495,44.06332,0.0,0.0,0.0,234.68889,0.0,0.0,0.0,395.51016,46.907597,0.0,396.17023,48.41278,168.78806,379.06635,0.0,0.0,389.91583,0.0,573622526.8473241,2019-03-07 03:35:21.847324
95104,0.0,363.75156,44.98292,218.0806,349.71823,41.835514,226.37254,372.27322,0.0,256.78802,370.60828,0.0,286.32318,374.82062,0.0,260.34628,362.53912,44.018764,0.0,0.0,0.0,234.30405,0.0,0.0,0.0,395.07904,46.873238,0.0,395.8294,48.35159,169.0149,378.79617,0.0,0.0,389.4491,0.0,573622530.9433911,2019-03-07 03:35:25.943391
95105,0.0,363.37238,44.913464,218.14061,349.40826,41.78283,226.68172,371.9972,0.0,256.70395,370.33118,0.0,286.19464,374.54004,0.0,260.41678,362.23123,43.975315,0.0,0.0,0.0,233.92232,0.0,0.0,0.0,394.65973,46.839245,0.0,395.49637,48.290424,169.25087,378.53552,0.0,0.0,388.98813,0.0,573622535.0394661,2019-03-07 03:35:30.039466
95106,0.0,363.00433,44.845448,218.20035,349.10828,41.73198,226.98308,371.72925,0.0,256.62695,370.06644,0.0,286.08002,374.27258,0.0,260.4883,361.93417,43.932552,0.0,0.0,0.0,233.55267,0.0,0.0,0.0,394.2575,46.805534,0.0,395.17462,48.230362,169.47891,378.2844,0.0,0.0,388.54156,0.0,573622539.1355422,2019-03-07 03:35:34.135542
95107,0.0,362.6121,44.77109,218.24374,348.78418,41.668495,227.28711,371.44727,0.0,256.5129,369.75574,0.0,285.90704,373.96072,0.0,260.53613,361.6127,43.88146,0.0,0.0,0.0,233.13904,0.0,0.0,0.0,393.76727,46.76329,0.0,394.80875,48.163765,169.73624,377.99026,0.0,0.0,388.0339,0.0,573622543.2316091,2019-03-07 03:35:38.231609
