,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp,event
90714,233.23248,345.13016,32.23339,250.41805,339.5291,36.52696,258.43222,366.7556,32.22744,244.0188,366.21204,39.096935,201.05554,348.6024,42.488594,247.35553,360.55835,47.6579,234.4062,357.61032,39.43511,218.04185,345.55957,37.606094,180.89742,339.27444,42.348106,277.18347,374.60205,32.84048,248.55518,362.48138,39.812927,175.71996,342.99066,39.797203,573604539.1522121,2019-03-06 22:35:34.152212,GRB190306943
90715,239.60255,346.719,35.78718,257.66623,338.81516,36.529274,259.5323,354.37552,33.697536,240.08366,363.12808,40.075222,198.71817,349.4403,37.956028,251.01933,358.70407,48.268238,237.59085,361.65247,39.55765,215.59421,352.66803,34.176582,181.01898,342.8223,41.24638,278.77985,373.38116,33.085957,253.83168,350.24362,36.629185,174.73825,342.7417,38.694668,573604543.248276,2019-03-06 22:35:38.248276,GRB190306943
90716,237.27043,352.22894,35.418987,253.02226,338.83408,37.51202,261.98303,354.8657,35.045437,232.2354,364.83627,40.932255,195.78024,350.2985,36.609314,260.937,368.49698,46.062122,243.96533,358.3547,39.80358,214.48961,345.80478,34.911217,173.42366,352.35477,37.083534,281.47708,370.1969,37.987762,246.84358,353.2987,34.79086,169.22122,333.17725,35.142178,573604547.344339,2019-03-06 22:35:42.344339,GRB190306943
90717,223.30092,357.25696,36.522324,239.637,341.86578,33.585953,265.89334,363.18335,34.30882,229.42987,367.9212,37.257843,203.75603,352.16486,42.489986,257.38904,363.48087,47.16553,248.26161,354.08206,40.78496,219.88342,345.68857,39.076775,177.82942,348.31558,38.919308,280.7473,371.06192,37.1307,243.53035,358.558,36.50505,170.57631,337.47903,36.490837,573604551.440402,2019-03-06 22:35:46.440402,GRB190306943
90718,222.3071,355.64233,37.745636,237.90714,338.29144,34.93227,252.52545,368.92487,36.63518,237.76744,372.21637,36.76816,206.58514,361.00357,41.390503,253.97867,364.61194,46.67915,243.3619,352.97885,40.907333,222.091,352.6751,38.832237,184.20087,348.32935,40.38956,278.66782,383.8116,33.20975,256.28455,354.78015,38.58969,174.0064,348.13525,36.736042,573604555.5364661,2019-03-06 22:35:50.536466,GRB190306943
90719,225.73546,353.06396,34.803947,244.29988,344.81464,36.65111,252.05518,367.11584,38.108486,246.4703,369.03137,40.32259,202.17476,351.20364,36.49187,251.03584,371.34683,43.12573,240.90504,358.11203,40.293724,220.8738,356.60767,37.48607,176.35915,345.00793,40.75475,277.55292,381.22168,36.026733,252.36604,354.78256,36.997353,177.54776,346.6467,36.856464,573604559.632531,2019-03-06 22:35:54.632531,GRB190306943
90720,229.2948,350.98892,34.19201,245.76358,344.55933,33.585648,266.16928,368.12732,36.763714,244.50525,374.54037,42.1603,206.81949,340.7807,37.22506,251.75076,364.4567,41.284676,236.6202,366.56534,42.008656,215.84373,352.06296,37.484783,169.01947,345.74945,42.34666,281.9621,368.35205,36.88422,249.67046,355.76202,35.404694,177.42702,339.05823,36.611923,573604563.728595,2019-03-06 22:35:58.728595,GRB190306943
90721,235.81668,357.52457,39.22107,241.71469,334.38016,35.055984,261.9848,368.46973,38.721794,239.22089,374.27286,39.339092,209.3905,341.39224,38.082134,263.27258,365.8129,43.36831,233.55621,367.17435,40.66107,214.24402,348.13123,39.688427,176.62123,357.5264,38.188374,285.5417,369.4885,35.171875,250.89442,361.51828,37.24214,177.18298,332.57013,36.857,573604567.8246579,2019-03-06 22:36:02.824658,GRB190306943
90722,230.93178,365.15167,41.185284,243.19214,341.49866,35.547237,256.46008,366.98422,42.76377,242.18327,375.53116,38.362026,198.7324,341.62872,38.81588,269.41974,380.29962,45.08707,236.62228,368.28323,40.1719,219.90154,365.1958,40.060055,180.0498,359.1204,38.311073,285.31592,381.1566,36.39984,256.66394,364.1075,40.796703,173.64435,339.45142,42.002827,573604571.920722,2019-03-06 22:36:06.920722,GRB190306943
90723,228.69994,363.76282,38.852028,247.48311,343.09323,32.23777,264.05484,358.4039,41.1705,242.928,383.88016,40.07944,195.06395,349.8416,37.59236,264.5134,370.98038,44.963604,237.61514,369.77325,40.41907,225.28435,362.48853,37.486137,184.33904,357.2946,41.127434,282.73987,381.03088,39.953705,253.10857,360.5511,42.51146,173.28171,350.72708,41.14675,573604576.016793,2019-03-06 22:36:11.016793,GRB190306943
90724,230.40239,354.55008,37.991882,248.46196,345.5423,34.076183,266.99557,359.0165,39.45506,238.2617,374.79645,40.44566,198.2463,355.59436,36.122704,262.17886,363.62003,48.1478,237.49266,363.40417,40.174107,222.94324,351.93182,38.341335,183.84433,362.3031,37.454304,281.12262,371.68478,38.724827,241.08795,357.7118,39.691307,186.25983,350.23218,41.023697,573604580.112864,2019-03-06 22:36:15.112864,GRB190306943
90725,232.73398,344.26,39.953278,252.37961,347.7421,35.669,267.9893,369.20517,38.10913,241.94884,373.8318,36.525204,198.00166,362.20712,35.7554,266.71927,371.71625,45.33125,238.82321,349.90665,43.478073,211.69652,367.5287,39.570587,177.1018,360.9352,38.676,279.162,375.4839,35.661163,247.94835,350.7293,37.241253,185.27869,347.2904,42.73778,573604584.2089281,2019-03-06 22:36:19.208928,GRB190306943
90726,233.83504,347.321,38.35973,251.64673,338.18475,35.914513,272.76797,379.13034,37.128796,247.47417,382.79437,38.610382,197.75644,356.81873,37.10229,265.36023,369.49515,41.286427,233.67311,345.4884,40.660103,216.35704,360.92178,38.101383,178.9377,349.06314,41.858204,281.3793,382.117,39.33918,250.64993,349.3908,36.139652,174.61961,346.05542,41.51196,573604588.304992,2019-03-06 22:36:23.304992,GRB190306943
90727,229.29115,352.8216,37.990517,245.268,332.4172,34.81065,267.7402,387.3349,37.618416,241.81361,376.7537,39.95501,198.4805,356.43228,40.161385,267.45236,379.43198,39.695175,229.14383,352.71738,39.19082,222.354,360.66675,37.242764,179.91803,350.90137,42.103268,281.0001,379.16016,39.460106,252.49365,353.80963,35.160446,173.75616,344.9409,39.183914,573604592.401056,2019-03-06 22:36:27.401056,GRB190306943
90728,233.58032,350.12537,38.9709,245.63573,340.87473,31.256042,264.188,377.16635,35.412956,240.35437,374.32037,38.731247,200.07773,359.0134,39.79514,268.333,379.21945,44.96722,232.81691,352.83826,40.292877,215.11916,367.39313,34.79148,176.74245,353.9745,42.71684,277.32367,371.9299,37.499355,256.6498,350.9793,35.159184,170.68193,335.3643,36.977005,573604596.4971201,2019-03-06 22:36:31.497120,GRB190306943
90729,235.43277,349.16605,38.973255,250.7899,349.46335,34.443775,266.1679,368.73816,38.479156,239.63232,384.0246,44.004093,198.2526,357.0751,39.06274,267.72876,377.761,46.56152,233.18982,354.92862,40.783726,216.7033,355.6188,38.34264,173.92523,353.3583,41.00278,275.3797,377.83514,39.70762,263.88007,354.53525,35.037003,173.51166,344.8192,37.7146,573604600.593183,2019-03-06 22:36:35.593183,GRB190306943
90730,232.74002,345.6171,38.85128,246.12679,350.9268,37.50737,257.45148,363.93665,40.559944,245.9738,372.57614,40.68924,195.80595,363.07983,39.675503,266.97543,387.047,41.657482,234.42026,358.61154,45.193874,218.41286,350.34256,39.811653,175.01985,354.93536,42.469852,282.97925,378.81717,39.340122,262.0469,362.25934,33.07745,179.89597,353.05655,42.616608,573604604.6892459,2019-03-06 22:36:39.689246,GRB190306943
90731,224.27898,347.0809,40.198635,242.94244,343.33087,34.9337,253.63728,370.1634,37.73927,247.81177,372.2079,40.19894,199.60304,362.46933,38.328682,265.12036,382.4888,41.777283,243.24817,359.48306,43.72588,214.24359,358.4201,36.013504,174.78107,346.25745,45.28641,284.81427,380.03833,37.37881,250.65239,368.26056,35.894993,176.70792,345.21112,43.350384,573604608.78531,2019-03-06 22:36:43.785310,GRB190306943
90732,227.58806,351.98325,42.159554,240.74655,341.3845,34.32232,260.5159,374.59882,36.883953,239.74207,390.00983,43.266335,213.08125,355.5028,36.248302,268.1883,370.73447,41.778072,241.28813,365.1167,41.153713,209.71544,355.36478,36.626705,172.45804,355.68707,42.961514,281.02487,383.23804,37.380108,247.59605,366.7999,43.49164,180.63492,350.0031,41.02556,573604612.8813741,2019-03-06 22:36:47.881374,GRB190306943
90733,236.40334,348.04846,38.603966,245.91379,352.93408,36.65415,261.25974,365.29797,36.395,250.76994,378.23853,40.446766,219.94597,353.06473,40.658165,269.53885,365.10263,43.248734,231.11166,371.34634,40.416985,217.4534,364.9542,37.487743,172.21136,363.27173,44.185005,282.99176,386.80032,38.361378,248.21475,362.64346,42.267567,180.52354,355.90326,43.599987,573604616.9774461,2019-03-06 22:36:51.977446,GRB190306943
90734,225.97855,345.95306,36.151665,252.53989,361.15656,38.493942,254.14053,358.41904,36.148243,247.70619,374.31705,41.05966,211.86035,363.71402,39.800354,263.90466,368.29034,43.494034,236.25836,374.41257,37.11057,220.1593,379.06116,40.062378,173.93259,363.28775,45.166164,280.1709,393.17072,36.767834,258.1555,368.5485,40.432514,172.80644,359.20715,41.272694,573604621.073518,2019-03-06 22:36:56.073518,GRB190306943
90735,220.83612,351.5976,36.76517,244.78636,360.0088,37.140842,253.89409,363.8087,36.883263,237.16756,379.95837,44.491898,211.49432,368.00256,38.086124,267.58685,367.56436,44.842854,243.49405,376.01947,38.45932,218.18132,368.7399,39.201584,179.08192,364.03943,42.842567,287.41165,393.42917,37.01421,265.6375,373.95096,40.433754,172.69156,358.97797,40.049744,573604625.1695821,2019-03-06 22:37:00.169582,GRB190306943
