,n0_r0,n0_r1,n0_r2,n1_r0,n1_r1,n1_r2,n2_r0,n2_r1,n2_r2,n3_r0,n3_r1,n3_r2,n4_r0,n4_r1,n4_r2,n5_r0,n5_r1,n5_r2,n6_r0,n6_r1,n6_r2,n7_r0,n7_r1,n7_r2,n8_r0,n8_r1,n8_r2,n9_r0,n9_r1,n9_r2,na_r0,na_r1,na_r2,nb_r0,nb_r1,nb_r2,met,timestamp
69889,0.0,343.10962,41.03389,185.86664,325.57037,39.142925,144.79947,324.3088,0.0,265.57263,375.9094,0.0,276.23138,371.5665,0.0,199.62184,341.6924,44.780567,0.0,0.0,0.0,257.30472,0.0,0.0,0.0,356.6435,35.732002,0.0,336.56558,35.48591,202.36415,327.0761,0.0,0.0,330.5,0.0,573420913.684139,2019-03-04 19:35:08.684139
69890,0.0,343.1528,41.036304,185.91101,325.60678,39.147366,144.83167,324.35104,0.0,265.64267,375.89954,0.0,276.3318,371.56036,0.0,199.79585,341.72357,44.767517,0.0,0.0,0.0,257.2841,0.0,0.0,0.0,356.57428,35.71427,0.0,336.53018,35.483437,202.14725,326.98627,0.0,0.0,330.4517,0.0,573420917.780205,2019-03-04 19:35:12.780205
69891,0.0,343.18063,41.034935,185.95674,325.63196,39.147892,144.85881,324.3712,0.0,265.7243,375.88718,0.0,276.44165,371.55,0.0,199.97694,341.74283,44.749527,0.0,0.0,0.0,257.27505,0.0,0.0,0.0,356.52032,35.697243,0.0,336.4862,35.47957,201.90854,326.89438,0.0,0.0,330.4107,0.0,573420921.876271,2019-03-04 19:35:16.876271
69892,0.0,343.1873,41.028584,186.00433,325.6477,39.142536,144.86407,324.3491,0.0,265.8516,375.90326,0.0,276.5978,371.56686,0.0,200.17543,341.759,44.72539,0.0,0.0,0.0,257.3151,0.0,0.0,0.0,356.54883,35.689358,0.0,336.44543,35.477577,201.62257,326.83096,0.0,0.0,330.42596,0.0,573420925.972345,2019-03-04 19:35:20.972345
69893,0.0,343.23077,41.029945,186.05597,325.68658,39.14567,144.90076,324.38953,0.0,265.93744,375.89938,0.0,276.71048,371.566,0.0,200.36552,341.7935,44.710926,0.0,0.0,0.0,257.30386,0.0,0.0,0.0,356.49,35.672016,0.0,336.408,35.475685,201.38785,326.74265,0.0,0.0,330.3837,0.0,573420930.068419,2019-03-04 19:35:25.068419
69894,0.0,343.27814,41.032223,186.10725,325.7268,39.149902,144.94339,324.4395,0.0,266.01205,375.88715,0.0,276.8113,371.55716,0.0,200.55193,341.8274,44.69768,0.0,0.0,0.0,257.28,0.0,0.0,0.0,356.4096,35.65217,0.0,336.36835,35.473263,201.16348,326.64615,0.0,0.0,330.32635,0.0,573420934.164485,2019-03-04 19:35:29.164485
69895,0.0,343.2976,41.03191,186.14899,325.7581,39.15096,144.94926,324.4334,0.0,266.13553,375.93216,0.0,276.97076,371.6081,0.0,200.74167,341.8673,44.68378,0.0,0.0,0.0,257.3255,0.0,0.0,0.0,356.4885,35.658634,0.0,336.36478,35.482258,200.90091,326.63177,0.0,0.0,330.38867,0.0,573420938.260551,2019-03-04 19:35:33.260551
69896,0.0,343.24933,41.013622,186.18295,325.7149,39.134106,144.95576,324.3652,0.0,266.20975,375.85126,0.0,277.06555,371.52365,0.0,200.91441,341.80496,44.643456,0.0,0.0,0.0,257.30838,0.0,0.0,0.0,356.39044,35.628494,0.0,336.24683,35.46336,200.60486,326.47226,0.0,0.0,330.29462,0.0,573420942.356618,2019-03-04 19:35:37.356618
69897,0.0,343.28802,41.018833,186.22098,325.75214,39.14184,144.99449,324.40952,0.0,266.2676,375.84952,0.0,277.15707,371.53046,0.0,201.08086,341.8411,44.636818,0.0,0.0,0.0,257.2819,0.0,0.0,0.0,356.3539,35.62287,0.0,336.23193,35.47048,200.3997,326.41614,0.0,0.0,330.27615,0.0,573420946.452684,2019-03-04 19:35:41.452684
69898,0.0,343.26413,41.011517,186.2522,325.7375,39.136192,145.00931,324.37006,0.0,266.34262,375.81516,0.0,277.26166,371.49844,0.0,201.25105,341.8196,44.613365,0.0,0.0,0.0,257.2761,0.0,0.0,0.0,356.33597,35.617256,0.0,336.17218,35.47094,200.12761,326.33304,0.0,0.0,330.2604,0.0,573420950.5487499,2019-03-04 19:35:45.548750
69899,0.0,343.25485,41.001736,186.30533,325.7296,39.127644,145.04149,324.3484,0.0,266.42514,375.75647,0.0,277.35587,371.43448,0.0,201.44952,341.7967,44.583027,0.0,0.0,0.0,257.25497,0.0,0.0,0.0,356.2282,35.587105,0.0,336.06537,35.45585,199.83072,326.17328,0.0,0.0,330.16245,0.0,573420954.6448171,2019-03-04 19:35:49.644817
69900,0.0,343.3297,41.0147,186.3645,325.80164,39.143116,145.107,324.4346,0.0,266.49838,375.78235,0.0,277.45483,371.46707,0.0,201.64827,341.87265,44.585606,0.0,0.0,0.0,257.23105,0.0,0.0,0.0,356.19943,35.585228,0.0,336.06818,35.468895,199.61871,326.128,0.0,0.0,330.15533,0.0,573420958.740882,2019-03-04 19:35:53.740882
69901,0.0,343.34552,41.015015,186.40637,325.82043,39.145084,145.14052,324.4455,0.0,266.57047,375.76636,0.0,277.5542,371.45502,0.0,201.829,341.88785,44.571507,0.0,0.0,0.0,257.215,0.0,0.0,0.0,356.1637,35.576607,0.0,336.02444,35.471565,199.36555,326.0469,0.0,0.0,330.12982,0.0,573420962.836947,2019-03-04 19:35:57.836947
69902,0.0,343.30447,41.001938,186.43895,325.78757,39.132835,145.1483,324.38284,0.0,266.64813,375.70563,0.0,277.65454,371.39252,0.0,202.0031,341.84216,44.539005,0.0,0.0,0.0,257.20706,0.0,0.0,0.0,356.1072,35.557667,0.0,335.9248,35.461304,199.06238,325.916,0.0,0.0,330.07294,0.0,573420966.933013,2019-03-04 19:36:01.933013
69903,0.0,343.35263,41.012066,186.4799,325.83826,39.145115,145.19258,324.435,0.0,266.71472,375.7287,0.0,277.75607,371.42548,0.0,202.17769,341.89844,44.539734,0.0,0.0,0.0,257.19376,0.0,0.0,0.0,356.12,35.564674,0.0,335.93405,35.477966,198.84941,325.89514,0.0,0.0,330.09918,0.0,573420971.0290871,2019-03-04 19:36:06.029087
69904,0.0,343.36038,41.004475,186.5329,325.84152,39.13922,145.23563,324.44217,0.0,266.77762,375.664,0.0,277.83154,371.35812,0.0,202.36986,341.8848,44.512638,0.0,0.0,0.0,257.1512,0.0,0.0,0.0,355.97742,35.528168,0.0,335.83197,35.46151,198.57922,325.72632,0.0,0.0,329.97568,0.0,573420975.125161,2019-03-04 19:36:10.125161
69905,0.0,343.34225,41.001812,186.55884,325.83624,39.137707,145.2473,324.40643,0.0,266.85373,375.65488,0.0,277.9427,371.35455,0.0,202.53162,341.88022,44.496853,0.0,0.0,0.0,257.15933,0.0,0.0,0.0,356.016,35.536278,0.0,335.80154,35.471348,198.31488,325.68762,0.0,0.0,330.01117,0.0,573420979.221227,2019-03-04 19:36:14.221227
